Date,Open,High,Low,Close(t),Adj Close,Volume,SD20,Upper_Band,Lower_Band,S_Close(t-1),S_Close(t-2),S_Close(t-3),S_Close(t-5),S_Open(t-1),MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,MACD,MACD_EMA,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,STD5,ForceIndex1,ForceIndex20,Date_col,Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month,Close_forcast
2020-10-15,267.6000061035156,269.0400085449219,263.6700134277344,266.7200012207031,266.17303466796875,15416100,8.218377105770568,277.23425711071104,244.36074868762876,271.82000732421875,276.1400146484375,275.75,263.760009765625,277.6199951171875,270.97600708007815,266.0010040283203,260.7975028991699,268.35640228271484,223.61510078430175,269.27119155002504,269.27119155002504,269.27119155002504,269.27119155002504,269.27119155002504,1.3652050792180148,-0.1785349363503459,8.001833401713109,14.737556835664508,1333.3333333333335,0.033753267165178805,51.371034388311976,-53.075706742270725,46.924293257729275,0.02449978603232407,-78622204.09240723,183451495.90759277,2020-10-15,15,3,289,42,0,0,0,0,0,0,1,2020,10,265.92999267578125
2020-10-16,267.3800048828125,271.3699951171875,265.29998779296875,265.92999267578125,265.3846435546875,16622700,8.053458093181659,277.57441878035746,245.36058640763082,266.7200012207031,271.82000732421875,276.1400146484375,264.45001220703125,267.6000061035156,271.2720031738281,266.6000030517578,261.46750259399414,268.36940216064454,223.89585075378417,268.1574585919438,268.1574585919438,268.1574585919438,268.1574585919438,268.1574585919438,1.216541694168427,0.1004803897534087,7.863845824749226,14.250283180747461,1333.3333333333335,2.304374154849529,50.691985838373434,-56.190884191981674,43.809115808018326,0.024618227765018878,-13132075.039672852,222744078.54309082,2020-10-16,16,4,290,42,0,0,0,0,0,0,1,2020,10,261.3999938964844
2020-10-19,265.5299987792969,268.54998779296875,259.8800048828125,261.3999938964844,260.8639221191406,13587000,7.420370087344625,276.9707427686834,247.28926241930492,265.92999267578125,266.7200012207031,271.82000732421875,275.75,267.3800048828125,268.402001953125,266.27500305175784,262.13000259399416,268.2286019897461,224.15950073242186,265.904970360124,265.904970360124,265.904970360124,265.904970360124,265.904970360124,0.7248363850925443,0.22535158882123585,7.9214270451354425,13.387087738385896,1333.3333333333333,-1.2280370583613955,46.86642330051937,-74.053665721616,25.946334278384008,0.009167315505632467,-61549093.41430664,180027750.0,2020-10-19,19,0,293,43,0,0,0,0,0,0,1,2020,10,267.55999755859375
2020-10-20,263.05999755859375,269.70001220703125,262.8800048828125,267.55999755859375,267.0113220214844,18763200,7.301735761864306,277.3739739956524,248.1670309481952,261.3999938964844,265.92999267578125,266.7200012207031,276.1400146484375,265.5299987792969,266.6859985351563,267.1650024414063,262.7705024719238,268.31980194091796,224.43430068969727,266.45664609294727,266.45664609294727,266.45664609294727,266.45664609294727,266.45664609294727,0.8227332426504859,0.34482791958708586,7.948469278379116,12.43302875322136,1333.3333333333333,3.440807921780803,52.15413732593592,-49.763416430404,50.23658356959601,0.01775427570059972,115581380.71289062,240356546.19140625,2020-10-20,20,1,294,43,0,0,0,0,0,0,1,2020,10,278.7300109863281
2020-10-21,279.55999755859375,283.04998779296875,276.3699951171875,278.7300109863281,278.1584167480469,28998600,7.3787998023023205,279.0136024122218,249.49840320301251,267.55999755859375,261.3999938964844,265.92999267578125,271.82000732421875,263.05999755859375,268.0679992675781,269.2260040283203,264.25600280761716,268.7718020629883,224.76265075683594,270.5477677240742,270.5477677240742,270.5477677240742,270.5477677240742,270.5477677240742,1.781112384628841,0.632084812595437,8.487149346664536,13.02292642967657,1333.3333333333333,7.9846645974805615,59.93940743376643,-15.302797716855489,84.6972022831445,0.02649600356342782,323914751.38549805,861548600.692749,2020-10-21,21,2,295,43,0,0,0,0,0,0,1,2020,10,278.1199951171875
2020-10-22,279.8699951171875,282.45001220703125,275.0400085449219,278.1199951171875,277.5496520996094,16720000,7.141327967005497,279.96815855852276,251.40284669050075,278.7300109863281,267.55999755859375,261.3999938964844,266.7200012207031,279.55999755859375,270.347998046875,270.66200256347656,265.68550262451174,269.13640167236326,225.07715072631837,273.07184352177865,273.07184352177865,273.07184352177865,273.07184352177865,273.07184352177865,2.4630194221489887,0.9982717345061474,8.41021036919631,13.383253379188464,1333.3333333333335,5.444337587158367,59.371238446324824,-17.463677246389345,82.53632275361066,0.02361107959586308,-10199465.33203125,478024738.76953125,2020-10-22,22,3,296,43,0,0,0,0,0,0,1,2020,10,284.7900085449219
2020-10-23,278.79998779296875,285.239990234375,276.82000732421875,284.7900085449219,284.20599365234375,17535200,7.850530814095544,282.885064313738,251.4829410573558,278.1199951171875,278.7300109863281,267.55999755859375,265.92999267578125,279.8699951171875,274.1200012207031,272.6960021972656,267.1840026855469,269.6062020874023,225.4096007537842,276.9778985294931,276.9778985294931,276.9778985294931,276.9778985294931,276.9778985294931,3.5012893184624545,1.498875251297409,8.410908407836306,13.99183864263309,1333.3333333333333,7.691433314046117,63.45079766213797,-1.4792305793928984,98.5207694206071,0.023378912758178678,116960019.45800781,525529965.40527344,2020-10-23,23,4,297,43,0,0,0,0,0,0,1,2020,10,277.1099853515625
2020-10-26,283.1600036621094,285.2300109863281,274.260009765625,277.1099853515625,276.5417175292969,21322900,7.751110001382533,283.7007215896791,252.696281584149,284.7900085449219,278.1199951171875,278.7300109863281,261.3999938964844,278.79998779296875,277.2619995117187,272.8320007324219,268.19850158691406,269.9236019897461,225.70485069274903,277.0219274701829,277.0219274701829,277.0219274701829,277.0219274701829,277.0219274701829,3.6621964831298897,1.931539497663905,8.593700751612507,14.171930877189352,1333.3333333333335,0.4931950504306437,56.4253439195146,-26.725869330117714,73.27413066988228,0.02684226220632242,-163760366.54968262,432641172.47924805,2020-10-26,26,0,300,44,0,0,0,0,0,0,1,2020,10,283.2900085449219
2020-10-27,278.760009765625,284.510009765625,276.30999755859375,283.2900085449219,282.70904541015625,16287200,8.28786912494288,285.8492398367998,252.69776333702828,277.1099853515625,284.7900085449219,278.1199951171875,267.55999755859375,283.1600036621094,280.4080017089844,273.5470001220703,269.27350158691405,270.36620208740237,226.0117507171631,279.1112878284292,279.1112878284292,279.1112878284292,279.1112878284292,279.1112878284292,4.239522220352399,2.393136042201604,8.565580141285276,14.339159380705881,1333.3333333333335,2.589263966537865,60.2403248918676,-7.4740588852485095,92.52594111475149,0.026712100143405672,100655273.75488281,350174800.0,2020-10-27,27,1,301,44,0,0,0,0,0,0,1,2020,10,267.6700134277344
2020-10-28,278.7900085449219,278.7900085449219,267.260009765625,267.6700134277344,267.12109375,23121800,8.116340309451443,285.7946831823794,253.32932194457365,283.2900085449219,277.1099853515625,284.7900085449219,278.7300109863281,278.760009765625,278.1960021972656,273.1320007324219,269.56200256347654,270.4728024291992,226.2548007965088,275.2975296948643,275.2975296948643,275.2975296948643,275.2975296948643,275.2975296948643,3.3974898145789894,2.5940067966770815,9.098752901143246,13.4126455595774,1333.3333333333333,-1.5267433539336148,48.64738939099898,-69.28228294721035,30.717717052789666,0.03374828758442345,-361162403.10058594,133413237.59765625,2020-10-28,28,2,302,44,0,0,0,0,0,0,1,2020,10,280.8299865722656
